ID,topLeft,topRight,bottomRight,bottomLeft,distance,yaw
0,"(508, 250)","(529, 249)","(529, 270)","(509, 271)",5.410361530676882,-6.126709005323631
0,"(496, 262)","(517, 261)","(517, 281)","(497, 283)",5.429663893700074,-7.3257217932085
0,"(477, 260)","(498, 259)","(499, 280)","(478, 281)",5.455620647861073,-2.726310989367124
0,"(470, 258)","(491, 256)","(493, 278)","(471, 280)",5.1822224079323655,-4.541017071992903
0,"(470, 250)","(493, 248)","(493, 270)","(472, 272)",5.098915245759686,-9.136882752637112
0,"(484, 229)","(507, 227)","(508, 250)","(486, 252)",4.971855525992057,-9.413376120923333
0,"(511, 221)","(536, 219)","(537, 243)","(513, 245)",4.647814181603617,-7.384251009656037
0,"(520, 217)","(545, 216)","(546, 240)","(521, 242)",4.558659810177425,-6.116097503050228
0,"(522, 240)","(547, 239)","(548, 265)","(523, 266)",4.412598185807848,-1.0595370642187598
0,"(516, 233)","(542, 232)","(544, 258)","(517, 260)",4.300662415438779,-3.3557250442631537
0,"(516, 233)","(542, 232)","(544, 258)","(517, 260)",4.300662415438779,-3.3557250442631537
0,"(514, 233)","(541, 231)","(543, 259)","(516, 261)",4.101871314405126,-3.0238340980609384
0,"(513, 250)","(541, 248)","(542, 276)","(514, 278)",3.992008453695612,-3.389845706638585
0,"(547, 242)","(577, 240)","(578, 269)","(549, 271)",3.825386944264819,-5.4441401695167535
0,"(554, 242)","(585, 240)","(587, 269)","(556, 272)",3.848755275025476,-4.602300901674474
0,"(563, 239)","(594, 237)","(596, 267)","(565, 270)",3.6346246631398693,-5.9781428671247205
0,"(578, 240)","(610, 238)","(612, 270)","(579, 272)",3.4617114772511415,-3.2348692369583025
0,"(567, 241)","(601, 239)","(603, 272)","(569, 275)",3.3131368104704784,-5.442545701379629
0,"(529, 251)","(564, 250)","(565, 284)","(530, 286)",3.2352148323240857,-4.139444274589339
0,"(502, 242)","(539, 240)","(541, 276)","(504, 279)",3.0758219263574533,-6.110122857711905
0,"(473, 257)","(510, 254)","(512, 291)","(475, 294)",3.049465800468741,-4.228213492549278
0,"(469, 264)","(506, 261)","(509, 299)","(471, 302)",2.9966764987285126,-4.172258926344778
0,"(473, 265)","(512, 262)","(516, 301)","(476, 304)",2.9190622081044038,-5.104615140897002
0,"(450, 264)","(491, 261)","(494, 301)","(453, 304)",2.8354426505979533,-4.745076904220274
0,"(464, 252)","(505, 248)","(508, 290)","(467, 293)",2.748298942483845,-4.386803583214913
0,"(471, 251)","(515, 248)","(518, 292)","(474, 294)",2.625873139693776,-3.772193414169138
0,"(471, 251)","(515, 248)","(518, 292)","(474, 294)",2.625873139693776,-3.772193414169138
0,"(444, 256)","(490, 253)","(493, 298)","(447, 301)",2.530199929161577,-4.244748409415815
0,"(407, 226)","(454, 223)","(458, 269)","(411, 272)",2.5367259875308448,-4.785374214888188
0,"(375, 239)","(424, 237)","(425, 285)","(377, 288)",2.4061891204182775,-8.140605527115895
0,"(312, 237)","(364, 233)","(369, 285)","(316, 289)",2.311165790637223,-4.6804457387695
0,"(298, 212)","(354, 208)","(360, 261)","(304, 266)",2.2602412759232884,-6.289296689072331
0,"(287, 201)","(344, 199)","(349, 254)","(291, 258)",2.1898665542298916,-4.075257160902856
0,"(281, 202)","(342, 199)","(345, 257)","(285, 261)",2.0741120314872226,-4.064428312411373
