FrameID,ID,topLeft,topRight,bottomRight,bottomLeft,distance,yaw
990,8,"(189, 361)","(213, 356)","(218, 379)","(194, 384)",5.4211022375845666,-12.247648138025419
991,8,"(186, 402)","(211, 397)","(215, 420)","(191, 425)",5.766726915761593,-13.100643077528876
992,8,"(162, 422)","(189, 415)","(193, 437)","(168, 445)",5.33294730652695,-20.575786026887904
993,8,"(178, 420)","(205, 415)","(210, 436)","(184, 442)",5.435799504720452,-12.569802544139776
994,8,"(186, 431)","(212, 426)","(217, 449)","(192, 455)",5.308811337563495,-13.352329151386757
995,8,"(200, 440)","(227, 433)","(232, 455)","(207, 463)",5.282293545988551,-17.953579941227428
996,8,"(203, 444)","(229, 437)","(235, 460)","(209, 468)",5.169127781324303,-17.936363598788684
997,8,"(235, 441)","(260, 435)","(266, 459)","(240, 465)",5.082983661918882,-13.312272005232499
998,8,"(236, 445)","(262, 439)","(267, 463)","(241, 470)",4.967211238231617,-14.224169304735264
999,8,"(241, 429)","(268, 422)","(273, 447)","(248, 453)",4.935344074439267,-14.099254637619568
1001,8,"(274, 402)","(302, 395)","(307, 419)","(281, 425)",4.804072013660943,-14.558072091254088
1002,8,"(270, 356)","(297, 350)","(303, 375)","(277, 382)",4.64844264720717,-18.686188192373965
1003,8,"(232, 342)","(263, 336)","(268, 361)","(238, 367)",4.4272341552598595,-14.33087249501612
1004,8,"(205, 375)","(235, 368)","(241, 393)","(212, 401)",4.607160597648201,-18.317053161164296
1005,8,"(206, 380)","(236, 373)","(243, 398)","(215, 407)",4.622028950171984,-20.1104740538569
1006,8,"(201, 355)","(231, 349)","(238, 375)","(209, 383)",4.5273563294453165,-19.242049068681375
1007,8,"(178, 342)","(210, 335)","(216, 362)","(186, 370)",4.42010946370713,-20.557087346224357
1008,8,"(166, 322)","(198, 316)","(204, 344)","(174, 352)",4.30224801787417,-23.09119914255026
1009,8,"(170, 335)","(204, 328)","(210, 357)","(178, 364)",4.251405923759053,-18.17699187606416
1010,8,"(165, 341)","(198, 333)","(206, 362)","(174, 371)",4.176867464749485,-23.30917015207899
1011,8,"(134, 338)","(170, 330)","(177, 360)","(144, 369)",4.099014572966196,-22.906989021908892
1012,8,"(126, 372)","(162, 363)","(170, 395)","(136, 405)",3.881163326538764,-25.440951065760434
1013,8,"(117, 349)","(153, 340)","(162, 371)","(127, 381)",3.9977915434834728,-25.03746565081367
1014,8,"(125, 344)","(161, 336)","(170, 369)","(134, 378)",3.806411424607916,-24.263713483312053
1015,8,"(144, 340)","(180, 332)","(189, 366)","(152, 374)",3.724381704277696,-13.476005008452537
1016,8,"(149, 346)","(188, 337)","(197, 371)","(159, 381)",3.609058002834067,-21.823011089950953
1017,8,"(144, 334)","(183, 326)","(192, 362)","(154, 371)",3.4706520938949983,-23.101354500708226
1018,8,"(80, 364)","(121, 354)","(132, 391)","(90, 403)",3.4037775261311936,-27.576428010352394
1019,8,"(48, 372)","(92, 361)","(103, 399)","(59, 411)",3.4089395643264093,-16.63360273322577
1020,8,"(32, 346)","(78, 335)","(89, 375)","(45, 386)",3.3336727429086164,-15.605142441803908
1021,8,"(30, 328)","(76, 316)","(89, 357)","(42, 368)",3.2769948716058632,-16.61113028270261
1022,8,"(63, 289)","(110, 279)","(121, 321)","(74, 330)",3.18403679717122,-14.162131079493554
1023,8,"(67, 278)","(115, 268)","(127, 310)","(80, 321)",3.099154140746667,-28.213121432783364
1024,8,"(82, 244)","(130, 234)","(143, 278)","(94, 289)",2.9496819633811,-14.695652428845273
1025,8,"(110, 239)","(160, 229)","(169, 275)","(122, 286)",2.774231586661851,-31.82775165228139
1026,8,"(76, 228)","(127, 217)","(139, 266)","(89, 276)",2.740004707580475,-12.882267483264423
1027,8,"(85, 199)","(137, 189)","(151, 237)","(99, 248)",2.7453184933952524,-14.034666521017014
1028,8,"(101, 178)","(154, 168)","(167, 219)","(115, 228)",2.6516298052920986,-11.98958058753769
1029,8,"(116, 161)","(169, 152)","(183, 202)","(129, 212)",2.6334883705209706,-12.884373422959609
1030,8,"(176, 108)","(233, 104)","(242, 157)","(187, 163)",2.48058342480804,-21.23871312028229
1031,8,"(217, 107)","(274, 99)","(285, 155)","(228, 162)",2.331440141719471,-9.71591054802727
1032,8,"(216, 94)","(274, 86)","(284, 145)","(227, 153)",2.2185530292547595,-7.802889212155475
1033,8,"(196, 106)","(255, 99)","(264, 159)","(205, 166)",2.184452448855114,-6.7676640860037525
1034,1,"(462, 108)","(474, 106)","(476, 119)","(464, 121)",9.418884255743372,-6.192984425331503
1035,1,"(488, 93)","(501, 92)","(503, 105)","(490, 107)",9.17574371144002,-11.166775456076904
1036,8,"(178, 24)","(247, 16)","(260, 84)","(193, 93)",2.0087685166001923,-8.889768518350335
1037,8,"(204, 39)","(273, 32)","(282, 103)","(213, 110)",1.882450004776285,-5.4794254648975995
1038,8,"(188, 27)","(260, 19)","(271, 90)","(199, 99)",1.866450819268801,-7.845884230331634
1039,8,"(144, 14)","(222, 5)","(232, 84)","(156, 91)",1.7678295063291833,-6.255263705672565
1043,1,"(469, 143)","(482, 142)","(483, 156)","(470, 157)",8.626708858833329,-1.63640943784353
1055,1,"(717, 71)","(736, 70)","(737, 88)","(717, 90)",6.143957129390165,-1.7084483523959886
1056,1,"(767, 67)","(787, 65)","(787, 84)","(767, 86)",6.082496225399633,-0.5487113736325354
1057,10,"(18, 120)","(34, 122)","(37, 146)","(21, 144)",6.240054380700258,10.687628567323427
1058,1,"(801, 38)","(821, 35)","(822, 55)","(802, 58)",6.251605929200226,-2.695795702762659
1060,10,"(116, 105)","(131, 106)","(135, 131)","(120, 130)",5.7384193716620615,10.61878764125996
1061,10,"(134, 114)","(151, 116)","(155, 140)","(139, 139)",5.744809871221885,-65.98303263160061
1062,10,"(157, 131)","(174, 132)","(178, 157)","(162, 156)",5.517617558889834,9.113794686923544
1063,10,"(162, 106)","(179, 107)","(183, 132)","(166, 131)",5.5933594173039145,9.2866197978664
1065,10,"(47, 80)","(66, 82)","(71, 109)","(52, 108)",5.48290160518137,-84.25846182223208
1066,10,"(49, 32)","(69, 34)","(74, 63)","(55, 62)",5.265918179492957,-85.84240517358755
